To retrieve the time series for the selected ground motions, follow the instructions below. 
 
Go to the following link: ngawest2.berkeley.edu 
 
Select "No Scaling" and click submit. Enter RSN values (separated by commas) provided below under "Record Characteristics", and click Search Records. Download time series at the bottom of the resulting page by clicking "Download Time Series Records". 
 
Record Number 	 Record Sequence Number 	 Scale Factor 	 File Name Dir. 1 	 File Name Dir. 2 	 URL 1 	 URL 2 
1 	 1813 	   1.08 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
2 	 5249 	   4.81 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
3 	 1615 	   1.48 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
4 	 5801 	   1.40 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
5 	 5796 	   1.29 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
6 	 4744 	   0.40 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
7 	 1296 	   2.19 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
8 	 5815 	   2.32 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
9 	 3349 	   3.38 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
10 	 3215 	   4.00 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
11 	 4889 	   2.14 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
12 	 5798 	   2.92 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
13 	 1107 	   0.94 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
14 	 1165 	   1.12 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
15 	 744 	   1.42 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
16 	 6912 	   1.34 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
17 	 1162 	   1.96 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
18 	 3679 	   1.34 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
19 	 3863 	   1.47 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
20 	 3311 	   1.42 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
21 	 3459 	   4.33 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
22 	 3344 	   5.00 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
23 	 5665 	   0.70 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
24 	 1019 	   4.14 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
25 	 3674 	   1.24 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
26 	 850 	   1.69 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
27 	 821 	   0.41 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
28 	 465 	   2.63 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
29 	 1209 	   1.37 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
30 	 5804 	   2.86 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
31 	 4159 	   3.23 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
32 	 2473 	   3.16 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
33 	 8124 	   1.62 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
34 	 1274 	   3.10 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
35 	 2715 	   2.27 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
36 	 1602 	   0.81 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
37 	 322 	   1.67 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
38 	 3560 	   4.56 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
39 	 6893 	   1.25 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
40 	 1141 	   0.69 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
41 	 746 	   3.89 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
42 	 1270 	   4.31 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
43 	 962 	   3.93 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
44 	 754 	   1.37 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
45 	 1633 	   0.66 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
